SuperQuery;Scenario;Query;QueryBucket;Date;Id;Libor(0, 1Y);Dsc5Y;Dsc5YHW;FwdBond0;HWFwdBond
0;0;0;0;0.000000;0;0.001448;0.000000;0.000000;0.997835;0.000000
0;0;0;0;0.000000;1;0.001448;0.000000;0.000000;0.997835;0.000000
0;0;0;0;0.000000;2;0.001448;0.000000;0.000000;0.997835;0.000000
0;0;0;0;0.000000;3;0.001448;0.000000;0.000000;0.997835;0.000000
0;0;0;0;0.000000;4;0.001448;0.000000;0.000000;0.997835;0.000000
0;0;0;0;0.000000;5;0.001448;0.000000;0.000000;0.997835;0.000000
0;0;0;0;4.000000;0;0.116066;0.896005;0.000000;1.137500;0.896005
0;0;0;0;4.000000;1;0.116066;0.896005;0.000000;1.137500;0.896005
0;0;0;0;4.000000;2;0.073277;0.931726;0.000000;1.351329;0.931726
0;0;0;0;4.000000;3;0.073277;0.931726;0.000000;1.351329;0.931726
0;0;0;0;4.000000;4;0.160560;0.861653;0.000000;0.957506;0.861653
0;0;0;0;4.000000;5;0.160560;0.861653;0.000000;0.957506;0.861653
0;0;0;0;5.000000;0;0.178457;1.002169;1.000000;1.272278;1.002169
0;0;0;0;5.000000;1;0.178457;1.002169;1.000000;1.272278;1.002169
0;0;0;0;5.000000;2;0.112110;1.003699;1.000000;1.455716;1.003699
0;0;0;0;5.000000;3;0.112110;1.003699;1.000000;1.455716;1.003699
0;0;0;0;5.000000;4;0.248762;1.000640;1.000000;1.111954;1.000640
0;0;0;0;5.000000;5;0.248762;1.000640;1.000000;1.111954;1.000640
0;0;0;0;6.000000;0;0.241103;1.183578;1.181017;1.502582;1.183578
0;0;0;0;6.000000;1;0.241103;1.183578;1.181017;1.502582;1.183578
0;0;0;0;6.000000;2;0.035303;1.028024;1.024234;1.490995;1.028024
0;0;0;0;6.000000;3;0.035303;1.028024;1.024234;1.490995;1.028024
0;0;0;0;6.000000;4;0.487813;1.362671;1.361799;1.514258;1.362671
0;0;0;0;6.000000;5;0.487813;1.362671;1.361799;1.514258;1.362671
